Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Ball State University,150136,2015,Football Bowl Subdivision,Mid-American Conference,25495662,715917,365643,2713085,5128843,7250433,22800600,226030,650667,1232696,609292
Ball State University,150136,2016,Football Bowl Subdivision,Mid-American Conference,27226309,778796,410694,2821501,5445289,7926764,25542539,275746,310062,1833000,1064726
Ball State University,150136,2017,Football Bowl Subdivision,Mid-American Conference,27410745,416564,492471,2690372,5191011,8367947,26098565,326339,770198,734250,513427
Ball State University,150136,2018,Football Bowl Subdivision,Mid-American Conference,28443728,347445,479643,2654408,5646348,8228569,28634103,466700,667668,1507500,1043360
Boise State University,142115,2005,Football Bowl Subdivision,Western Athletic Conference,16852312,137458,269561,1424176,3871151,2502743,16912927,1160696,1921897,0,3556301
Boise State University,142115,2006,Football Bowl Subdivision,Western Athletic Conference,20666105,49427,308093,1922610,4345775,3908176,20593090,1809906,2771494,767850,3845490
Boise State University,142115,2007,Football Bowl Subdivision,Western Athletic Conference,25275959,65304,349514,3051264,5510610,4156307,26236398,1850843,3522400,415650,4430742
Boise State University,142115,2008,Football Bowl Subdivision,Western Athletic Conference,25607867,123475,359735,2204044,5567383,4785755,25578051,2253195,2884410,626500,6237477
Boise State University,142115,2009,Football Bowl Subdivision,Western Athletic Conference,30207049,121543,330559,2822673,5900741,4854899,29936613,2338780,6406382,600000,5669473
Boise State University,142115,2010,Football Bowl Subdivision,Western Athletic Conference,36655700,104918,281642,2757482,7735919,5652173,36932392,2773179,6553812,580000,7102661
Boise State University,142115,2011,Football Bowl Subdivision,Western Athletic Conference,37293281,125596,383327,4038597,8106760,5849004,37524722,3612480,9594182,1500000,7615696
Boise State University,142115,2012,Football Bowl Subdivision,Mountain West Conference,43172225,134805,411603,3954637,8512642,6337067,43440905,3668995,9261601,2287500,8306921
Boise State University,142115,2013,Football Bowl Subdivision,Mountain West Conference,43292010,184118,446068,3765927,9457314,6786098,43166257,3780877,11142524,1575000,8205637
Boise State University,142115,2014,Football Bowl Subdivision,Mountain West Conference,45680801,750743,588969,3790675,8649417,6926375,45706336,4677490,11050334,667000,8427884
Boise State University,142115,2015,Football Bowl Subdivision,Mountain West Conference,44227893,1215108,593491,4143321,8154754,7451678,43858018,4525661,4409017,1642000,7929402
Boise State University,142115,2016,Football Bowl Subdivision,Mountain West Conference,46741012,697249,719556,4778831,8058551,7996993,46611768,5558766,10311076,532000,7853132
Boise State University,142115,2017,Football Bowl Subdivision,Mountain West Conference,45456789,716887,745947,4919212,8558520,7798848,45486486,4641861,10328892,546500,7378826
Boise State University,142115,2018,Football Bowl Subdivision,Mountain West Conference,47846748,678270,773739,5113432,9591083,8379098,48109196,5160439,10641121,532000,6591176
Bowling Green State University,201441,2005,Football Bowl Subdivision,Mid-American Conference,16411529,149008,314778,1362820,2789826,4402073,16809396,616352,2170382,656000,910131
Bowling Green State University,201441,2006,Football Bowl Subdivision,Mid-American Conference,17200166,162337,348932,1334574,2934875,4782145,17615851,594163,4549215,620000,1009163
Bowling Green State University,201441,2007,Football Bowl Subdivision,Mid-American Conference,17132784,170861,371906,1411348,3287864,5037479,19995372,598419,4642670,1050000,1068708
Bowling Green State University,201441,2008,Football Bowl Subdivision,Mid-American Conference,17789360,127610,378557,2025311,3495931,5377106,19387291,876206,2917591,1049500,1141756
Bowling Green State University,201441,2009,Football Bowl Subdivision,Mid-American Conference,18138104,111472,377267,1645560,3779236,5141764,17814168,485412,999410,756500,1555220
Bowling Green State University,201441,2010,Football Bowl Subdivision,Mid-American Conference,17850240,192330,357208,1626136,3839743,5316661,18850778,503047,2925651,547000,1114805
Bowling Green State University,201441,2011,Football Bowl Subdivision,Mid-American Conference,18031088,196434,408781,1532903,3792853,5666507,20157361,395461,2157827,1250000,1192670
Bowling Green State University,201441,2012,Football Bowl Subdivision,Mid-American Conference,18387277,195876,341097,1303043,4352340,5548560,20731957,597601,911454,921000,1370319
Bowling Green State University,201441,2013,Football Bowl Subdivision,Mid-American Conference,20701488,200802,495576,1988057,4168964,5442181,23611448,476822,1258174,1725000,1862294
Bowling Green State University,201441,2014,Football Bowl Subdivision,Mid-American Conference,23306965,141932,361417,2166457,4721086,5768405,23469664,661333,1452756,1205055,1912792
Bowling Green State University,201441,2015,Football Bowl Subdivision,Mid-American Conference,21823070,174382,428618,2036759,4966599,5916474,21824966,420565,2151989,1030900,2070484
Bowling Green State University,201441,2016,Football Bowl Subdivision,Mid-American Conference,23719835,341762,520197,2985194,5603271,6522797,22836309,429384,2068269,2164920,2000333
Bowling Green State University,201441,2017,Football Bowl Subdivision,Mid-American Conference,23753571,330359,500880,2940442,5233069,6666233,25303291,631043,2192521,1026846,1941787
Bowling Green State University,201441,2018,Football Bowl Subdivision,Mid-American Conference,24393090,378457,526245,2670834,5825271,6976741,24673957,561551,1911442,2020479,1870354
California State University-Fresno,110556,2005,Football Bowl Subdivision,Western Athletic Conference,25350352,473531,362672,4049759,5931855,3263489,26691142,1976847,7237422,850000,7651092
